industries_clean,crop_and_animal_production,forestry_and_logging,fishing,mining,extraction_oli_ores,other_mining,mining_support_service,production_of_meat_products,fish_fruit_and_vegetables,oils_and_fats,dairy_products,grain_mill_products,bakery_products,other_food_products,prepared_animal_feeds,alcohol_tobacco,soft_drinks,textiles,wearing_apparel,leather,wood,paper,recorded_media,refined_petroleum,paints_varnishes_printing_ink,soap_detergents_cleaning,other_chemical,industrial_gases_chemicals,petrochemicals,dyestuffs_agro_chemicals,pharmaceutical,rubber_and_plastic,cement_lime_plaster,glass_clay_ceramic,iron_steel,other_metals_and_casting,weapons_ammunition,fabricated_metal_products,computer_electronic_optical,electrical_equipment,machinery_and_equipment,motor_vehicles_trailers,building_ships,air_and_spacecraft,other_transport_equipment,furniture,other_manufacturing,maintenance_ships,maintenance_aircraft_spacecraft,rest_of_repair_installation,electric_power_generation,manufacture_of_gas_distribution,water_collection_treatment_and_supply,sewerage,waste_collection_treatment,other_waste_management_services,construction,motor_vehicles_and_motorcycles,wholesale_trade,retail_trade,rail_transport,land_transport_services,water_transport,air_transport,warehousing,postal_and_courier,accommodation,food_and_beverage,publishing_activities,motion_picture_video,telecommunications,computer_programming,information_service_activities,financial_service_activities,insurance_pension,auxiliary_financial_services,real_estate_services,owner_occupiers_housing,buying_and_selling_renting,legal_activities,accounting_bookkeeping,head_offices_management,architectural,scientific_r_and_d,advertising_market_research,other_scientific_activities,veterinary_activities,rental_leasing_activities,employment_activities,travel_agency,security_activities,services_to_buildings,administrative_office_support,public_administration,education,human_health_activities,social_work_activities,creative_arts_activities,libraries_archives_museums,gambling_and_betting_activities,sports_and_amusement_activities,membership_organisations,repair_of_household_goods,other_personal_service_activities,total
motor_vehicles_trailers,5,123,0,2,61,13,4,4,3,0,4,1,8,9,2,6,18,3,1,0,4,7,9,2,3,2,2,21,2,1,15,4,17,18,9,1,16,24,30,20,167,1219,5,50,2,19,10,0,3,123,54,13,5,18,59,0,585,5407,340,140,12,1193,2,5,376,99,5,11,4,15,42,53,24,92,40,88,2,27,39,7,4,73,53,772,11,16,0,676,38,3,15,29,23,147,104,139,202,4,7,2,14,8,6,3,13179
building_ships,1,0,11,0,176,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,3,1,5,25,472,3,0,1,1,35,0,6,2,0,0,0,2,0,25,1,3,4,1,1,103,1,2,0,1,2,0,1,1,4,0,2,2,7,0,1,30,1,0,1,2,14,1,2,0,1,0,0,0,1,2,184,2,3,1,1,0,0,0,0,0,0,1175
air_and_spacecraft,9,0,0,1,21,6,3,7,5,0,5,1,6,8,2,8,10,2,1,1,6,10,9,1,1,2,2,1,2,1,11,7,8,3,9,1,13,16,27,10,33,63,4,1139,2,5,9,1,1652,11,33,7,4,0,16,0,252,14,60,54,7,32,2,423,14,3,5,11,5,12,9,41,4,36,18,14,2,15,41,7,4,13,85,341,13,24,0,9,2,3,1,8,29,2830,22,50,11,10,1,2,5,5,1,3,7767
other_transport_equipment,3,0,0,1,12,4,3,5,3,0,3,1,3,3,2,4,3,2,1,0,2,2,3,3,1,1,1,1,2,1,4,6,4,4,6,1,5,11,446,3,11,27,0,12,68,2,3,0,0,203,26,15,2,0,4,0,29,7,13,23,85,4,1,1,12,1,2,13,2,3,10,6,2,2,0,2,0,1,16,1,1,3,2,14,1,2,0,8,0,1,1,2,7,8,3,152,8,1,1,3,5,3,0,2,1393
furniture,4,1,0,0,6,1,1,3,2,0,3,1,2,3,1,2,3,1,1,0,4,5,14,1,1,1,1,1,2,0,4,4,1,1,3,1,2,13,8,4,13,22,19,9,1,42,3,0,1,5,6,2,0,0,5,0,427,27,26,23,3,9,1,2,5,1,3,10,18,3,3,5,1,20,9,9,0,5,20,3,1,2,3,17,2,3,0,5,1,2,0,5,4,364,150,117,56,1,2,1,21,6,2,2,1635
other_manufacturing,54,3,3,1,34,10,8,12,7,0,7,4,8,11,4,8,11,4,5,1,16,16,18,4,3,5,4,2,11,2,62,20,7,7,9,2,10,20,22,12,37,53,10,31,1,8,44,9,1,21,47,17,6,3,29,2,402,10,43,43,24,49,62,7,47,17,26,34,15,161,13,43,4,80,21,96,4,6,22,13,2,5,17,68,2,9,12,12,7,4,1,53,18,82,117,390,54,36,5,18,27,13,2,17,2979
maintenance_ships,0,0,20,0,137,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,6,4,79,1,0,0,1,18,0,12,5,1,1,0,1,0,10,0,1,1,1,0,66,0,2,0,0,0,0,0,0,1,0,0,0,12,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,455
maintenance_aircraft_spacecraft,2,0,0,0,6,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,2,1,1,1,1,0,1,2,2,2,6,4,0,328,0,0,1,0,291,2,5,2,1,0,2,0,21,1,6,6,1,2,0,1710,2,0,1,4,1,1,2,7,1,4,1,2,0,1,3,1,1,2,8,13,1,1,0,2,0,0,0,2,3,112,3,7,2,1,0,0,1,1,0,0,2619
rest_of_repair_installation,35,2,9,16,306,94,68,103,54,2,52,28,59,65,39,88,69,37,15,0,41,38,55,86,24,25,27,19,48,24,65,143,95,81,117,22,97,182,156,57,140,547,3,182,29,39,50,2,2,354,661,376,40,5,66,0,245,140,305,553,653,78,24,23,294,19,42,275,43,66,233,78,46,17,3,13,1,4,25,29,27,76,29,58,14,45,10,197,5,14,14,41,163,59,36,266,185,21,18,78,115,17,1,43,9782
electric_power_generation,206,9,38,3,139,155,25,261,128,20,125,96,191,255,71,163,43,83,15,9,117,294,178,262,28,43,53,315,305,53,170,518,177,161,167,115,32,473,166,71,253,354,39,181,14,72,83,4,14,74,40815,7671,454,97,100,7,1286,321,1127,3103,292,158,21,33,490,62,859,1048,55,295,501,309,196,452,35,447,64,1120,300,153,74,170,138,129,97,233,25,60,125,174,21,140,180,809,889,1187,481,57,73,80,374,118,0,116,74440
